Consequent	Antecedent 	Support %	Confidence %
ItemID_124	hour_21 and student_group_F1	0.978578748718974	6.832694763729247
ItemID_154	hour_23 and student_group_F2	4.085535031369511	6.806362802080147
ItemID_142	hour_23 and student_group_F3	3.704976629089909	6.797099004891213
ItemID_76	hour_22 and student_group_F4	1.930287199740046	6.765943671090968
ItemID_154	hour_22 and student_group_F4	1.930287199740046	6.765943671090968
ItemID_151	hour_1 and student_group_F1	0.904216762066638	6.703524533517623
ItemID_76	hour_21 and student_group_F3	2.313970055240333	6.697272481771536
ItemID_142	student_group_F4 and hour_23	2.295848226560352	6.695699510070767
ItemID_142	hour_0 and student_group_F3	3.055090359187143	6.688484352628349
ItemID_154	hour_0 and student_group_F3	3.055090359187143	6.688484352628349
ItemID_154	student_group_F0 and hour_23	0.757367460694379	6.683168316831684
ItemID_130	student_group_F1 and hour_0	1.949033919064164	6.636742545687721
ItemID_169	hour_1 and student_group_F1	0.904216762066638	6.63441603317208
ItemID_154	hour_0 and student_group_F4	2.487689654310496	6.631499623210249
ItemID_151	hour_0 and student_group_F2	3.028844952133377	6.622653187538684
ItemID_142	hour_0 and student_group_F4	2.487689654310496	6.606380306455664
ItemID_76	hour_1 and student_group_F1	0.904216762066638	6.565307532826538
ItemID_76	hour_0 and student_group_F4	2.487689654310496	6.556141672946496
ItemID_76	student_group_F0 and hour_23	0.757367460694379	6.518151815181518
ItemID_128	hour_1 and student_group_F1	0.904216762066638	6.427090532135453
ItemID_134	hour_23 and student_group_F2	4.085535031369511	6.40868767207097
ItemID_130	student_group_F0 and hour_22	0.87859624565701	6.401137980085349
ItemID_142	hour_22 and student_group_F4	1.930287199740046	6.345095500161865
ItemID_142	hour_21 and student_group_F3	2.313970055240333	6.292195517148258
ItemID_76	hour_22 and student_group_F3	3.141325268078087	6.206484981102049
ItemID_128	student_group_F0 and hour_23	0.757367460694379	6.188118811881188
ItemID_154	hour_1 and student_group_F1	0.904216762066638	6.150656530753283
ItemID_146	hour_20 and student_group_F3	2.768265553528133	6.139954853273138
ItemID_151	hour_0 and student_group_F4	2.487689654310496	6.129113288118563
ItemID_134	student_group_F0 and hour_23	0.757367460694379	6.105610561056106
ItemID_76	hour_21 and student_group_F4	1.609093408653486	6.097087378640777
ItemID_169	hour_1 and student_group_F3	1.400379933511635	6.06871932173137
ItemID_142	student_group_F1 and hour_23	2.356462619041668	5.940068947228852
ItemID_169	hour_21 and student_group_F1	0.978578748718974	5.938697318007663
ItemID_76	student_group_F1 and hour_22	1.474741920163971	5.932203389830509
ItemID_76	hour_0 and student_group_F3	3.055090359187143	5.931683370832481
ItemID_154	hour_20 and student_group_F4	1.760316944534706	5.892793752218672
ItemID_169	student_group_F1 and hour_22	1.474741920163971	5.889830508474576
ItemID_154	hour_20 and student_group_F2	2.39958007348714	5.885416666666667
ItemID_138	student_group_F1 and hour_22	1.474741920163971	5.847457627118645
ItemID_128	hour_21 and student_group_F3	2.313970055240333	5.833108290575209
ItemID_128	student_group_F1 and hour_22	1.474741920163971	5.805084745762712
ItemID_169	hour_17 and student_group_F3	1.595970705126603	5.794831636648395
ItemID_146	hour_20 and student_group_F4	1.760316944534706	5.750798722044729
ItemID_76	hour_21 and student_group_F1	0.978578748718974	5.747126436781609
ItemID_107	hour_17 and student_group_F2	3.988676981528232	5.733980886730378
ItemID_76	student_group_F1 and hour_0	1.949033919064164	5.706957358127605
ItemID_26	student_group_F0 and hour_0	0.727372709775789	5.670103092783505
ItemID_76	student_group_F0 and hour_0	0.727372709775789	5.670103092783505
ItemID_151	hour_0 and student_group_F3	3.055090359187143	5.645326242585396
ItemID_154	hour_20 and student_group_F3	2.768265553528133	5.62076749435666
ItemID_146	student_group_F0 and hour_22	0.87859624565701	5.61877667140825
ItemID_146	student_group_F0 and hour_21	1.294773414652436	5.55019305019305
ItemID_76	hour_23 and student_group_F3	3.704976629089909	5.532130207454883
