Consequent	Antecedent 	Support %	Confidence %
ItemID_128	hour_19 and student_group_F0	0.003784032643588	25.0
ItemID_151	student_group_F5 and hour_20	0.440524466924401	24.982104509663564
ItemID_151	student_group_F1 and hour_20	1.071827246296378	24.44836716681377
ItemID_134	student_group_H2 and hour_1	0.028380244826912	24.444444444444443
ItemID_151	student_group_B1 and hour_18	0.046354399883956	23.809523809523807
ItemID_123	hour_16 and student_group_F1	0.0107214258235	23.52941176470588
ItemID_128	student_group_H1 and hour_1	0.129918454096531	22.815533980582526
ItemID_151	student_group_F0 and hour_21	2.190008892476713	22.4622030237581
ItemID_151	student_group_H1	1.706598722258311	22.37620103473762
ItemID_124	student_group_F7	0.005676048965382	22.22222222222222
ItemID_142	student_group_F7	0.005676048965382	22.22222222222222
ItemID_161	student_group_P1 and hour_21	0.002838024482691	22.22222222222222
ItemID_93	hour_2 and student_group_F3	0.002838024482691	22.22222222222222
ItemID_22	hour_2 and student_group_F0	0.002838024482691	22.22222222222222
ItemID_107	hour_2 and student_group_F0	0.002838024482691	22.22222222222222
ItemID_124	hour_19 and student_group_F4	0.002838024482691	22.22222222222222
ItemID_154	hour_19 and student_group_F4	0.002838024482691	22.22222222222222
ItemID_26	student_group_F6 and hour_17	0.034371629845927	22.018348623853214
ItemID_2	hour_18 and student_group_F1	0.303983955701591	21.991701244813278
ItemID_2	hour_18 and student_group_F2	0.951999545916083	21.762172904935408
ItemID_151	hour_19 and student_group_F2	0.004414704750853	21.428571428571427
ItemID_136	student_group_D1 and hour_18	0.004414704750853	21.428571428571427
ItemID_22	student_group_D1 and hour_18	0.004414704750853	21.428571428571427
ItemID_2	hour_18	2.593639041126128	21.179331306990882
ItemID_146	student_group_F7 and hour_20	0.003153360536324	20.0
ItemID_146	student_group_P3 and hour_21	0.003153360536324	20.0
ItemID_123	hour_16 and student_group_F6	0.009460081608971	20.0
ItemID_2	hour_18 and student_group_F4	0.319435422329577	19.842053307008882
ItemID_151	student_group_F0	10.474202357452336	19.839836223506744
ItemID_128	student_group_H1 and hour_0	0.375880575929768	19.463087248322147
ItemID_123	hour_16	0.150730633636266	19.246861924686193
ItemID_159	student_group_F6 and hour_21	0.034686965899559	19.090909090909093
ItemID_123	student_group_H1 and hour_17	0.031533605363236	19.0
