Consequent	Antecedent 	Support %	Confidence %
item_164	item_166	0.259862364355763	10.552763819095476
item_12	item_16	0.125360738583685	9.722222222222223
item_130	item_133	0.198487836090834	9.649122807017543
item_130	item_131	0.211110966017664	8.8659793814433
item_151	item_148	1.641877451172427	6.972428419936374
item_146	item_151	5.111497059681288	6.761474921229668
item_134	item_133	0.198487836090834	6.578947368421052
item_107	item_51	0.214593208756099	6.288032454361055
item_130	item_132	0.618968646756944	6.188466947960619
item_15	item_18	0.66641420406813	5.617243631613325
item_156	item_157	0.562382202257364	4.798761609907121
item_130	item_129	1.180915568672003	4.681164762255805
item_26	item_46	0.21851073183684	4.581673306772909
item_154	item_148 and item_151	0.114478730026073	4.562737642585551
item_107	item_105	0.257685962644241	4.560810810810811
item_51	item_16	0.125360738583685	4.513888888888888
item_26	item_25	0.840961621332219	4.244306418219462
item_155	item_148 and item_151	0.114478730026073	4.182509505703422
item_46	item_51	0.214593208756099	4.056795131845842
item_148	item_146 and item_151	0.345612591789742	4.030226700251889
item_51	item_46	0.21851073183684	3.98406374501992
item_107	item_46	0.21851073183684	3.98406374501992
item_107	item_100	0.686437099814135	3.804692454026633
item_130	item_136	0.174112136921784	3.75
item_146	item_148	1.641877451172427	3.738069989395546
item_21	item_18	0.66641420406813	3.657740039190072
item_18	item_21	0.682519576733395	3.571428571428571
item_26	item_45	0.110561206945333	3.543307086614173
item_135	item_133	0.198487836090834	3.508771929824561
item_107	item_16	0.125360738583685	3.472222222222222
item_76	item_93	1.149575384026082	3.445664521014767
item_22	item_20	0.474890853454167	3.391384051329056
item_139	item_140	0.986780536004214	3.264225849139832
item_15	item_16	0.125360738583685	3.125
item_15	item_14	0.563688043284277	3.088803088803089
item_169	item_168	0.302519837901601	3.02158273381295
item_25	item_26	1.213996874687142	2.940121907493726
item_134	item_135	1.608360864814984	2.895805142083897
item_15	item_19	0.385223102939448	2.824858757062147
item_169	item_171	0.324283855016824	2.818791946308725
item_18	item_15	1.348063220116916	2.776880852437843
item_135	item_136	0.174112136921784	2.75
item_148	item_146	2.270422265460069	2.703220858895706
item_132	item_131	0.211110966017664	2.68041237113402
item_134	item_148 and item_151	0.114478730026073	2.661596958174905
item_15	item_20	0.474890853454167	2.658111824014665
item_154	item_155	2.131132555922642	2.655228758169935
item_16	item_51	0.214593208756099	2.636916835699797
item_12	item_4	0.116219851395291	2.621722846441948
item_15	item_21	0.682519576733395	2.614795918367347
item_161	item_159	0.737364899863757	2.538370720188902
item_100	item_105	0.257685962644241	2.533783783783784
item_156	item_155	2.131132555922642	2.532679738562091
item_134	item_132	0.618968646756944	2.531645569620253
item_134	item_136	0.174112136921784	2.5
item_173	item_175	0.22634577799832	2.5
item_140	item_139	1.292347336301945	2.492421690804985
item_155	item_156	2.1855425987107	2.469627564230233
item_76	item_48	0.141030830906645	2.469135802469136
item_26	item_51	0.214593208756099	2.434077079107505
item_128	item_16	0.125360738583685	2.430555555555556
item_128	item_129	1.180915568672003	2.359012163656469
item_169	item_167	0.243321711348194	2.325581395348837
item_76	item_100	0.686437099814135	2.28281547241598
item_134	item_131	0.211110966017664	2.268041237113402
item_154	item_146 and item_151	0.345612591789742	2.267002518891688
item_148	item_151	5.111497059681288	2.239632121263731
item_169	item_173	0.471843891058036	2.214022140221402
item_134	item_130	3.342953028898262	2.200520833333334
item_76	item_105	0.257685962644241	2.195945945945946
item_132	item_133	0.198487836090834	2.192982456140351
item_135	item_139	1.292347336301945	2.121926574604244
item_76	item_50	0.359976843085789	2.055622732769045
item_189	item_190	0.19413503266779	2.017937219730942
item_187	item_190	0.19413503266779	2.017937219730942
item_151	item_164	1.963984904477729	2.016843971631206
item_18	item_20	0.474890853454167	2.016498625114574
item_169	item_166	0.259862364355763	2.010050251256281
item_139	item_136	0.174112136921784	2.0
item_138	item_136	0.174112136921784	2.0
item_22	item_21	0.682519576733395	1.977040816326531
item_129	item_133	0.198487836090834	1.973684210526316
item_50	item_45	0.110561206945333	1.968503937007874
item_25	item_45	0.110561206945333	1.968503937007874
item_168	item_167	0.243321711348194	1.967799642218247
item_161	item_163	0.423963053404545	1.950718685831622
item_156	item_159	0.737364899863757	1.948051948051948
item_128	item_130	3.342953028898262	1.9140625
item_130	item_148 and item_151	0.114478730026073	1.901140684410646
item_22	item_26	1.213996874687142	1.828612405880244
item_26	item_22	1.22444360290245	1.813011020263064
item_22	item_25	0.840961621332219	1.811594202898551
item_21	item_19	0.385223102939448	1.807909604519774
item_191	item_190	0.19413503266779	1.793721973094171
item_25	item_46	0.21851073183684	1.792828685258964
item_130	item_135	1.608360864814984	1.786197564276049
item_159	item_161	1.065130997619016	1.757253780138946
item_131	item_133	0.198487836090834	1.754385964912281
item_146	item_133	0.198487836090834	1.754385964912281
item_142	item_141	1.38941485263584	1.754385964912281
item_178	item_186	0.223734095944493	1.750972762645914
item_139	item_135	1.608360864814984	1.705006765899865
item_26	item_50	0.359976843085789	1.692865779927449
item_169	item_170	1.231408088379321	1.661364439731354
item_178	item_177	0.367376608904965	1.658767772511848
item_129	item_130	3.342953028898262	1.653645833333333
item_133	item_131	0.211110966017664	1.649484536082474
item_135	item_131	0.211110966017664	1.649484536082474
item_167	item_168	0.302519837901601	1.58273381294964
item_173	item_176	0.362588525139616	1.56062424969988
item_139	item_148 and item_151	0.114478730026073	1.520912547528517
item_164	item_161	1.065130997619016	1.512055578259093
item_156	item_161	1.065130997619016	1.512055578259093
item_130	item_134	4.867304787648485	1.511357538901807
item_76	item_26	1.213996874687142	1.505916098960201
item_193	item_195	0.117525692422205	1.481481481481482
item_169	item_195	0.117525692422205	1.481481481481482
item_155	item_157	0.562382202257364	1.470588235294118
item_154	item_151	5.111497059681288	1.464702375883505
item_93	item_100	0.686437099814135	1.458465440710209
item_141	item_140	0.986780536004214	1.455668284075871
item_169	item_176	0.362588525139616	1.440576230492197
item_20	item_18	0.66641420406813	1.436969301110385
item_22	item_18	0.66641420406813	1.436969301110385
item_130	item_139	1.292347336301945	1.414617716402829
item_128	item_132	0.618968646756944	1.406469760900141
item_25	item_21	0.682519576733395	1.403061224489796
item_166	item_164	1.963984904477729	1.396276595744681
item_19	item_46	0.21851073183684	1.394422310756972
item_161	item_157	0.562382202257364	1.393188854489164
item_164	item_16	0.125360738583685	1.388888888888889
item_142	item_146 and item_151	0.345612591789742	1.385390428211587
